instance,family,algorithm,vehicles,distance,runtime,feasible,served,customers,seed
c1_10_1,C1,ALNS,107,46929.4577,90.41,True,1000,1000,2026
c1_10_10,C1,ALNS,116,56854.7326,90.9894,True,1000,1000,2026
c1_10_2,C1,ALNS,98,57554.6122,90.1915,True,1000,1000,2026
c1_10_3,C1,ALNS,98,63333.3642,90.3118,True,1000,1000,2026
c1_10_4,C1,ALNS,100,58183.4877,90.3912,True,1000,1000,2026
c1_10_5,C1,ALNS,115,54297.6643,90.0365,True,1000,1000,2026
c1_10_6,C1,ALNS,124,55995.1655,90.4861,True,1000,1000,2026
c1_10_7,C1,ALNS,108,50567.8226,91.1038,True,1000,1000,2026
c1_10_8,C1,ALNS,123,58034.8587,91.0415,True,1000,1000,2026
c1_10_9,C1,ALNS,106,52082.523,90.0459,True,1000,1000,2026
c2_10_1,C2,ALNS,34,21880.3855,90.5559,True,1000,1000,2026
c2_10_10,C2,ALNS,36,24700.0529,90.309,True,1000,1000,2026
c2_10_2,C2,ALNS,36,48347.1156,92.4459,True,1000,1000,2026
c2_10_3,C2,ALNS,38,48620.0321,91.1913,True,1000,1000,2026
c2_10_4,C2,ALNS,34,31145.6002,90.6497,True,1000,1000,2026
c2_10_5,C2,ALNS,33,20175.4985,90.6836,True,1000,1000,2026
c2_10_6,C2,ALNS,40,33223.1437,90.3043,True,1000,1000,2026
c2_10_7,C2,ALNS,43,35979.6306,90.545,True,1000,1000,2026
c2_10_8,C2,ALNS,34,25170.172,90.8405,True,1000,1000,2026
c2_10_9,C2,ALNS,44,37730.7221,90.8836,True,1000,1000,2026
r1_10_1,R1,ALNS,106,72032.4987,90.5975,True,1000,1000,2026
r1_10_10,R1,ALNS,92,90971.0621,90.9289,True,1000,1000,2026
r1_10_2,R1,ALNS,92,82146.2555,90.5279,True,1000,1000,2026
r1_10_3,R1,ALNS,92,93988.4715,90.1221,True,1000,1000,2026
r1_10_4,R1,ALNS,92,96794.3829,90.8897,True,1000,1000,2026
r1_10_5,R1,ALNS,97,72432.526,90.4353,True,1000,1000,2026
r1_10_6,R1,ALNS,92,78983.1701,90.7243,True,1000,1000,2026
r1_10_7,R1,ALNS,92,87283.2514,90.3426,True,1000,1000,2026
r1_10_8,R1,ALNS,92,104187.1042,90.6565,True,1000,1000,2026
r1_10_9,R1,ALNS,95,77760.4623,90.0463,True,1000,1000,2026
r2_10_1,R2,ALNS,21,65035.3205,94.4127,True,1000,1000,2026
r2_10_10,R2,ALNS,19,59134.0929,95.8915,True,1000,1000,2026
r2_10_2,R2,ALNS,19,58803.1324,91.76,True,1000,1000,2026
r2_10_3,R2,ALNS,19,47485.0819,92.9268,True,1000,1000,2026
r2_10_4,R2,ALNS,19,41111.6369,92.5922,True,1000,1000,2026
r2_10_5,R2,ALNS,19,61578.7875,95.3381,True,1000,1000,2026
r2_10_6,R2,ALNS,19,57892.3597,96.5432,True,1000,1000,2026
r2_10_7,R2,ALNS,19,50135.9128,92.833,True,1000,1000,2026
r2_10_8,R2,ALNS,19,37689.8765,91.4268,True,1000,1000,2026
r2_10_9,R2,ALNS,19,58220.534,93.483,True,1000,1000,2026
rc1_10_1,RC1,ALNS,94,61470.4096,91.756,True,1000,1000,2026
rc1_10_10,RC1,ALNS,94,57598.0992,90.0826,True,1000,1000,2026
rc1_10_2,RC1,ALNS,91,70794.6526,90.2104,True,1000,1000,2026
rc1_10_3,RC1,ALNS,91,75021.0961,91.4407,True,1000,1000,2026
rc1_10_4,RC1,ALNS,90,87911.2345,90.7815,True,1000,1000,2026
rc1_10_5,RC1,ALNS,94,59613.9089,90.5883,True,1000,1000,2026
rc1_10_6,RC1,ALNS,95,58952.4979,90.1176,True,1000,1000,2026
rc1_10_7,RC1,ALNS,94,60622.0086,90.2228,True,1000,1000,2026
rc1_10_8,RC1,ALNS,96,55799.5682,90.182,True,1000,1000,2026
rc1_10_9,RC1,ALNS,95,58675.7722,90.3065,True,1000,1000,2026
rc2_10_1,RC2,ALNS,28,43528.4749,91.6563,True,1000,1000,2026
rc2_10_10,RC2,ALNS,19,36474.0936,91.9735,True,1000,1000,2026
rc2_10_2,RC2,ALNS,24,38586.7575,92.2703,True,1000,1000,2026
rc2_10_3,RC2,ALNS,21,30136.6779,94.6171,True,1000,1000,2026
rc2_10_4,RC2,ALNS,18,25669.7165,90.2952,True,1000,1000,2026
rc2_10_5,RC2,ALNS,23,40456.5416,90.3296,True,1000,1000,2026
rc2_10_6,RC2,ALNS,23,34724.8405,90.9465,True,1000,1000,2026
rc2_10_7,RC2,ALNS,21,33468.6203,90.9444,True,1000,1000,2026
rc2_10_8,RC2,ALNS,19,38185.3051,90.3162,True,1000,1000,2026
rc2_10_9,RC2,ALNS,20,37931.0603,91.8943,True,1000,1000,2026
