instance,family,algorithm,vehicles,distance,runtime,feasible,served,customers,seed
c1_10_1,C1,BIH,107,47296.9906,8.0648,TRUE,1000,1000,
c1_10_10,C1,BIH,128,94419.1582,11.2349,TRUE,1000,1000,
c1_10_2,C1,BIH,98,58203.7117,12.5977,TRUE,1000,1000,
c1_10_3,C1,BIH,98,73352.6582,14.2358,TRUE,1000,1000,
c1_10_4,C1,BIH,100,72041.6473,14.654,TRUE,1000,1000,
c1_10_5,C1,BIH,115,54791.6782,10.175,TRUE,1000,1000,
c1_10_6,C1,BIH,126,62167.7586,10.7161,TRUE,1000,1000,
c1_10_7,C1,BIH,108,53106.562,8.8087,TRUE,1000,1000,
c1_10_8,C1,BIH,123,69676.8374,14.1337,TRUE,1000,1000,
c1_10_9,C1,BIH,106,63627.3254,14.5823,TRUE,1000,1000,
c2_10_1,C2,BIH,34,21880.3855,30.2678,TRUE,1000,1000,
c2_10_10,C2,BIH,37,38106.7591,30.8039,TRUE,1000,1000,
c2_10_2,C2,BIH,36,48347.1156,32.1781,TRUE,1000,1000,
c2_10_3,C2,BIH,38,54348.1797,34.0358,TRUE,1000,1000,
c2_10_4,C2,BIH,34,33913.3766,39.2001,TRUE,1000,1000,
c2_10_5,C2,BIH,35,24019.6104,29.3692,TRUE,1000,1000,
c2_10_6,C2,BIH,41,52551.4508,29.0128,TRUE,1000,1000,
c2_10_7,C2,BIH,43,47542.1481,26.7169,TRUE,1000,1000,
c2_10_8,C2,BIH,34,33777.1108,29.6886,TRUE,1000,1000,
c2_10_9,C2,BIH,44,53484.8933,27.3292,TRUE,1000,1000,
r1_10_1,R1,BIH,107,84531.1617,16.0991,TRUE,1000,1000,
r1_10_10,R1,BIH,92,90971.0621,18.576,TRUE,1000,1000,
r1_10_2,R1,BIH,92,83100.9859,17.7071,TRUE,1000,1000,
r1_10_3,R1,BIH,92,93988.4715,18.1995,TRUE,1000,1000,
r1_10_4,R1,BIH,92,100274.4075,19.902,TRUE,1000,1000,
r1_10_5,R1,BIH,98,79890.3658,17.3065,TRUE,1000,1000,
r1_10_6,R1,BIH,92,78983.1701,18.0751,TRUE,1000,1000,
r1_10_7,R1,BIH,92,90672.777,18.6303,TRUE,1000,1000,
r1_10_8,R1,BIH,92,104187.1042,24.9057,TRUE,1000,1000,
r1_10_9,R1,BIH,95,84878.8007,23.7197,TRUE,1000,1000,
r2_10_1,R2,BIH,21,73442.5376,55.4985,TRUE,1000,1000,
r2_10_10,R2,BIH,19,68782.3203,64.3006,TRUE,1000,1000,
r2_10_2,R2,BIH,19,61067.5242,64.6038,TRUE,1000,1000,
r2_10_3,R2,BIH,19,49421.878,72.9092,TRUE,1000,1000,
r2_10_4,R2,BIH,19,44273.1796,73.7649,TRUE,1000,1000,
r2_10_5,R2,BIH,19,69610.03,54.3099,TRUE,1000,1000,
r2_10_6,R2,BIH,19,65076.2574,60.3577,TRUE,1000,1000,
r2_10_7,R2,BIH,19,55333.0039,68.6847,TRUE,1000,1000,
r2_10_8,R2,BIH,19,44200.2857,76.4356,TRUE,1000,1000,
r2_10_9,R2,BIH,19,67314.8548,54.0461,TRUE,1000,1000,
rc1_10_1,RC1,BIH,94,66172.1957,16.0929,TRUE,1000,1000,
rc1_10_10,RC1,BIH,94,62265.7949,16.8689,TRUE,1000,1000,
rc1_10_2,RC1,BIH,91,75687.8289,16.6543,TRUE,1000,1000,
rc1_10_3,RC1,BIH,91,79750.8272,19.234,TRUE,1000,1000,
rc1_10_4,RC1,BIH,90,87935.0901,20.3708,TRUE,1000,1000,
rc1_10_5,RC1,BIH,94,66828.5631,16.2937,TRUE,1000,1000,
rc1_10_6,RC1,BIH,96,65668.8699,17.308,TRUE,1000,1000,
rc1_10_7,RC1,BIH,94,67519.2764,16.2778,TRUE,1000,1000,
rc1_10_8,RC1,BIH,96,61733.3075,17.504,TRUE,1000,1000,
rc1_10_9,RC1,BIH,95,63187.2963,17.2663,TRUE,1000,1000,
rc2_10_1,RC2,BIH,28,49611.8307,38.2909,TRUE,1000,1000,
rc2_10_10,RC2,BIH,19,40974.6063,52.0502,TRUE,1000,1000,
rc2_10_2,RC2,BIH,24,42116.6097,47.7768,TRUE,1000,1000,
rc2_10_3,RC2,BIH,21,31942.6503,55.4076,TRUE,1000,1000,
rc2_10_4,RC2,BIH,18,26843.931,64.0007,TRUE,1000,1000,
rc2_10_5,RC2,BIH,23,47878.2163,45.169,TRUE,1000,1000,
rc2_10_6,RC2,BIH,23,38572.8781,42.5829,TRUE,1000,1000,
rc2_10_7,RC2,BIH,21,36274.1299,45.4516,TRUE,1000,1000,
rc2_10_8,RC2,BIH,19,38866.9314,48.5772,TRUE,1000,1000,
rc2_10_9,RC2,BIH,20,41129.2121,48.9363,TRUE,1000,1000,
