instance,family,algorithm,vehicles,distance,runtime,feasible,served,customers,seed
c1_10_1,C1,ORTOOLS,102,43189.1616,91.1751,FALSE,1000,1000,
c1_10_10,C1,ORTOOLS,96,45560.7416,90.0174,TRUE,1000,1000,
c1_10_2,C1,ORTOOLS,104,46222.3161,90.0479,FALSE,1000,1000,
c1_10_3,C1,ORTOOLS,96,45748.136,90.0226,TRUE,1000,1000,
c1_10_4,C1,ORTOOLS,92,44095.8112,90.0152,FALSE,1000,1000,
c1_10_5,C1,ORTOOLS,105,44521.4401,90.0157,FALSE,1000,1000,
c1_10_6,C1,ORTOOLS,108,46047.2841,90.0149,FALSE,1000,1000,
c1_10_7,C1,ORTOOLS,105,40135.6598,90.0158,FALSE,1000,1000,
c1_10_8,C1,ORTOOLS,107,45412.8119,90.0148,FALSE,1000,1000,
c1_10_9,C1,ORTOOLS,99,43719.2562,90.0148,FALSE,1000,1000,
c2_10_1,C2,ORTOOLS,35,19369.2052,90.0152,FALSE,1000,1000,
c2_10_10,C2,ORTOOLS,36,19447.2521,90.0155,FALSE,1000,1000,
c2_10_2,C2,ORTOOLS,46,21750.9995,90.0149,TRUE,1000,1000,
c2_10_3,C2,ORTOOLS,44,20909.8228,90.0143,FALSE,1000,1000,
c2_10_4,C2,ORTOOLS,42,20095.6361,90.0263,TRUE,1000,1000,
c2_10_5,C2,ORTOOLS,38,19454.8459,90.0156,FALSE,1000,1000,
c2_10_6,C2,ORTOOLS,40,19962.7694,90.0152,FALSE,1000,1000,
c2_10_7,C2,ORTOOLS,38,19707.1527,90.0157,FALSE,1000,1000,
c2_10_8,C2,ORTOOLS,37,20044.2147,90.0151,TRUE,1000,1000,
c2_10_9,C2,ORTOOLS,36,19336.3697,90.0151,TRUE,1000,1000,
r1_10_1,R1,ORTOOLS,100,49530.0875,90.0148,FALSE,1000,1000,
r1_10_10,R1,ORTOOLS,94,55511.3378,90.0147,FALSE,1000,1000,
r1_10_2,R1,ORTOOLS,95,49919.9385,90.015,FALSE,1000,1000,
r1_10_3,R1,ORTOOLS,93,46807.2494,90.0159,FALSE,1000,1000,
r1_10_4,R1,ORTOOLS,92,47321.549,90.0155,FALSE,1000,1000,
r1_10_5,R1,ORTOOLS,96,55741.7385,90.0149,FALSE,1000,1000,
r1_10_6,R1,ORTOOLS,97,53400.6851,90.0151,FALSE,1000,1000,
r1_10_7,R1,ORTOOLS,93,51041.1906,90.0159,FALSE,1000,1000,
r1_10_8,R1,ORTOOLS,92,47887.0822,90.0143,TRUE,1000,1000,
r1_10_9,R1,ORTOOLS,97,55344.7568,90.0148,FALSE,1000,1000,
r2_10_1,R2,ORTOOLS,42,39568.0056,90.0161,TRUE,1000,1000,
r2_10_10,R2,ORTOOLS,28,32090.1669,90.0171,FALSE,1000,1000,
r2_10_2,R2,ORTOOLS,51,37227.4085,90.015,TRUE,1000,1000,
r2_10_3,R2,ORTOOLS,43,29386.6244,90.016,FALSE,1000,1000,
r2_10_4,R2,ORTOOLS,25,22168.4647,90.0154,TRUE,1000,1000,
r2_10_5,R2,ORTOOLS,32,36787.896,90.0158,TRUE,1000,1000,
r2_10_6,R2,ORTOOLS,47,35195.5979,90.184,TRUE,1000,1000,
r2_10_7,R2,ORTOOLS,42,28823.0802,90.0159,TRUE,1000,1000,
r2_10_8,R2,ORTOOLS,26,21442.6607,90.0159,FALSE,1000,1000,
r2_10_9,R2,ORTOOLS,34,34317.2577,90.0157,FALSE,1000,1000,
rc1_10_1,RC1,ORTOOLS,96,49158.4757,90.0141,FALSE,1000,1000,
rc1_10_10,RC1,ORTOOLS,92,50211.889,90.0151,TRUE,1000,1000,
rc1_10_2,RC1,ORTOOLS,94,50454.3657,90.015,FALSE,1000,1000,
rc1_10_3,RC1,ORTOOLS,92,47489.7946,90.0147,FALSE,1000,1000,
rc1_10_4,RC1,ORTOOLS,92,45565.8307,90.0146,FALSE,1000,1000,
rc1_10_5,RC1,ORTOOLS,93,50239.3731,90.0153,FALSE,1000,1000,
rc1_10_6,RC1,ORTOOLS,94,49580.5509,90.0148,FALSE,1000,1000,
rc1_10_7,RC1,ORTOOLS,93,47898.7372,90.0148,FALSE,1000,1000,
rc1_10_8,RC1,ORTOOLS,92,49854.9619,90.0145,FALSE,1000,1000,
rc1_10_9,RC1,ORTOOLS,92,50189.9847,90.0158,FALSE,1000,1000,
rc2_10_1,RC2,ORTOOLS,32,30111.6543,90.0153,FALSE,1000,1000,
rc2_10_10,RC2,ORTOOLS,26,24193.3187,90.0164,FALSE,1000,1000,
rc2_10_2,RC2,ORTOOLS,34,25281.0346,90.0204,FALSE,1000,1000,
rc2_10_3,RC2,ORTOOLS,37,24878.4844,90.0153,FALSE,1000,1000,
rc2_10_4,RC2,ORTOOLS,26,19791.7722,90.0164,TRUE,1000,1000,
rc2_10_5,RC2,ORTOOLS,30,28731.975,90.0229,TRUE,1000,1000,
rc2_10_6,RC2,ORTOOLS,29,27878.6355,90.0155,FALSE,1000,1000,
rc2_10_7,RC2,ORTOOLS,29,26299.1449,90.0151,FALSE,1000,1000,
rc2_10_8,RC2,ORTOOLS,26,23737.9719,90.0204,FALSE,1000,1000,
rc2_10_9,RC2,ORTOOLS,27,23161.6172,90.0141,FALSE,1000,1000,
