instance,family,algorithm,vehicles,distance,runtime,feasible,served,customers,seed
c1_10_1,C1,TABU,107,46966.9294,90.3597,True,1000,1000,2026
c1_10_10,C1,TABU,126,71105.7698,90.3367,True,1000,1000,2026
c1_10_2,C1,TABU,98,56975.9329,90.3735,True,1000,1000,2026
c1_10_3,C1,TABU,98,62801.4818,90.0323,True,1000,1000,2026
c1_10_4,C1,TABU,100,61627.8878,90.3673,True,1000,1000,2026
c1_10_5,C1,TABU,113,52127.3899,90.3342,True,1000,1000,2026
c1_10_6,C1,TABU,122,54918.9234,90.162,True,1000,1000,2026
c1_10_7,C1,TABU,107,50715.3064,90.1217,True,1000,1000,2026
c1_10_8,C1,TABU,120,58535.3316,90.1682,True,1000,1000,2026
c1_10_9,C1,TABU,104,52211.854,90.0431,True,1000,1000,2026
c2_10_1,C2,TABU,34,20526.114,90.1176,True,1000,1000,2026
c2_10_10,C2,TABU,37,30574.0083,90.0052,True,1000,1000,2026
c2_10_2,C2,TABU,36,41777.2776,90.3776,True,1000,1000,2026
c2_10_3,C2,TABU,38,47120.6448,90.3843,True,1000,1000,2026
c2_10_4,C2,TABU,34,30764.6703,90.0998,True,1000,1000,2026
c2_10_5,C2,TABU,33,21711.6135,91.4207,True,1000,1000,2026
c2_10_6,C2,TABU,41,40954.7305,90.5119,True,1000,1000,2026
c2_10_7,C2,TABU,43,39984.3584,90.6442,True,1000,1000,2026
c2_10_8,C2,TABU,34,28349.3801,90.5716,True,1000,1000,2026
c2_10_9,C2,TABU,44,45671.9945,90.7356,True,1000,1000,2026
r1_10_1,R1,TABU,103,75243.3842,90.2427,True,1000,1000,2026
r1_10_10,R1,TABU,92,85669.9082,90.3733,True,1000,1000,2026
r1_10_2,R1,TABU,92,78770.7201,90.2376,True,1000,1000,2026
r1_10_3,R1,TABU,92,86848.9349,90.6501,True,1000,1000,2026
r1_10_4,R1,TABU,92,92217.8816,90.2073,True,1000,1000,2026
r1_10_5,R1,TABU,97,77848.6018,90.3249,True,1000,1000,2026
r1_10_6,R1,TABU,92,74807.9396,90.151,True,1000,1000,2026
r1_10_7,R1,TABU,92,85402.1793,90.4155,True,1000,1000,2026
r1_10_8,R1,TABU,92,96658.7394,90.6053,True,1000,1000,2026
r1_10_9,R1,TABU,94,79451.6149,90.5995,True,1000,1000,2026
r2_10_1,R2,TABU,21,68377.4689,90.2806,True,1000,1000,2026
r2_10_10,R2,TABU,19,65100.5986,90.3696,True,1000,1000,2026
r2_10_2,R2,TABU,19,57076.9917,90.1888,True,1000,1000,2026
r2_10_3,R2,TABU,19,47808.5776,90.4566,True,1000,1000,2026
r2_10_4,R2,TABU,19,40399.4521,91.4981,True,1000,1000,2026
r2_10_5,R2,TABU,19,63771.8589,91.7539,True,1000,1000,2026
r2_10_6,R2,TABU,19,61354.7892,90.5018,True,1000,1000,2026
r2_10_7,R2,TABU,19,52700.4722,90.9275,True,1000,1000,2026
r2_10_8,R2,TABU,19,41839.6147,91.4523,True,1000,1000,2026
r2_10_9,R2,TABU,19,64596.7171,90.2111,True,1000,1000,2026
rc1_10_1,RC1,TABU,94,59669.8039,90.2879,True,1000,1000,2026
rc1_10_10,RC1,TABU,93,58151.7227,90.2001,True,1000,1000,2026
rc1_10_2,RC1,TABU,91,69203.3646,90.463,True,1000,1000,2026
rc1_10_3,RC1,TABU,91,75629.567,90.6093,True,1000,1000,2026
rc1_10_4,RC1,TABU,90,83643.2804,90.1956,True,1000,1000,2026
rc1_10_5,RC1,TABU,94,59732.0471,90.6163,True,1000,1000,2026
rc1_10_6,RC1,TABU,94,58825.5527,90.1615,True,1000,1000,2026
rc1_10_7,RC1,TABU,92,61393.7261,90.4693,True,1000,1000,2026
rc1_10_8,RC1,TABU,95,58161.1586,90.2411,True,1000,1000,2026
rc1_10_9,RC1,TABU,95,59755.088,90.165,True,1000,1000,2026
rc2_10_1,RC2,TABU,28,45673.7256,90.7823,True,1000,1000,2026
rc2_10_10,RC2,TABU,19,39081.1898,90.2514,True,1000,1000,2026
rc2_10_2,RC2,TABU,24,39360.9044,90.0568,True,1000,1000,2026
rc2_10_3,RC2,TABU,21,29786.7588,90.3731,True,1000,1000,2026
rc2_10_4,RC2,TABU,18,25849.3806,91.566,True,1000,1000,2026
rc2_10_5,RC2,TABU,23,44020.1485,90.2807,True,1000,1000,2026
rc2_10_6,RC2,TABU,23,36498.163,90.0417,True,1000,1000,2026
rc2_10_7,RC2,TABU,21,33996.4095,90.3854,True,1000,1000,2026
rc2_10_8,RC2,TABU,19,36863.6858,90.5632,True,1000,1000,2026
rc2_10_9,RC2,TABU,20,38844.7119,92.0305,True,1000,1000,2026
